file,panel_id,step,node,technique,delivery,expected_support,layer_decision,layer_why,split_method,split_ok,n_regions,masked_fraction,ocr_tokens,caption_span
images/F3c.png,10.1016/j.actamat.2021.116797#F3c,1,o10,OM,crop,shown,as_is,"only OCR text boxes could be found, and hiding words while arrows or marks remain is forbidden; panel handed over whole and declared",ocr_boxes,True,4,,5,[1120]
images/F3d.png,10.1016/j.actamat.2021.116797#F3d,1,o10,OM,crop,shown,as_is,"only OCR text boxes could be found, and hiding words while arrows or marks remain is forbidden; panel handed over whole and declared",ocr_boxes,True,3,,5,[1120]
images/F3e.png,10.1016/j.actamat.2021.116797#F3e,1,o10,OM,crop,shown,as_is,"only OCR text boxes could be found, and hiding words while arrows or marks remain is forbidden; panel handed over whole and declared",ocr_boxes,True,6,,6,"[010], and"
images/F3f.png,10.1016/j.actamat.2021.116797#F3f,1,o10,OM,crop,shown,as_is,"only OCR text boxes could be found, and hiding words while arrows or marks remain is forbidden; panel handed over whole and declared",ocr_boxes,True,5,,5,"[010], and"
images/F4a.png,10.1016/j.actamat.2021.116797#F4a,2,o13,OM,crop,partial,hidden,"saturation split caught the whole layer; clean panel handed over, masked regions declared",saturation,True,6,0.0032,22,[1120] and
images/F4b.png,10.1016/j.actamat.2021.116797#F4b,2,o13,OM,crop,partial,hidden,"saturation split caught the whole layer; clean panel handed over, masked regions declared",saturation,True,6,0.0058,21,[01i0] loading orientations to 5\% plastic strain at the temperatures indicated. The Miller indices of the side surface planes in observation are indicated in the figure
images/F5a.png,10.1016/j.actamat.2021.116797#F5a,3,o14,EBSD,crop,shown,as_is,"the observation is read from the author's annotation, so masking it would overlap the graded feature; the author's label is the claim under test instead",ocr_boxes,True,4,,4,Crystal orientation maps of deformation microstructures of the specimen deformed in the [1120] orientation at RT to 5\% plastic strain and observed on the (1i00) side surface and
images/F5b.png,10.1016/j.actamat.2021.116797#F5b,3,o14,EBSD,crop,shown,as_is,"the observation is read from the author's annotation, so masking it would overlap the graded feature; the author's label is the claim under test instead",ocr_boxes,True,3,,3,Crystal orientation maps of deformation microstructures of the specimen deformed in the [1120] orientation at RT to 5\% plastic strain and observed on the (1i00) side surface respectively
images/F5e.png,10.1016/j.actamat.2021.116797#F5e,3,o14,EBSD,crop,shown,as_is,"the observation is read from the author's annotation, so masking it would overlap the graded feature; the author's label is the claim under test instead",ocr_boxes,True,4,,4,"Crystal orientation map of the specimen deformed in the [01ioj orientation at RT to 5\% plastic strain and observed on the (2110) side surface but the colors in the map indicate the crystal orientation along the loading axis, in order to distinguish the orientation colors of the deformation twins and deformation kink bands The colors of the bar graph of Figs. 5"
images/F5f.png,10.1016/j.actamat.2021.116797#F5f,3,o14,EBSD,crop,shown,as_is,"the observation is read from the author's annotation, so masking it would overlap the graded feature; the author's label is the claim under test instead",ocr_boxes,True,5,,6,The same region in Fig. 5
images/F6a.png,10.1016/j.actamat.2021.116797#F6a,4,o16,TEM,crop,shown,hidden,"saturation split caught the whole layer; clean panel handed over, masked regions declared",saturation,True,25,0.1317,3,Bright-field TEM image of the deformation kink bands introduced in the specimen deformed in the [1120] orientation at RT to 5\% plastic strain. The observation direction is nearly parallel to [1ioo] in the matrix
images/F6b.png,10.1016/j.actamat.2021.116797#F6b,5,o17,TEM:SAED,crop,shown,as_is,"the observation is read from the author's annotation, so masking it would overlap the graded feature; the author's label is the claim under test instead",saturation,True,8,,1,Higher-magnification image of the kink bands
images/F6c.png,10.1016/j.actamat.2021.116797#F6c,5,o17,TEM:SAED,crop,shown,as_is,"the observation is read from the author's annotation, so masking it would overlap the graded feature; the author's label is the claim under test instead",saturation,True,4,,2,SAED patterns taken at points A–D indicated in Fig. 6
images/F6d.png,10.1016/j.actamat.2021.116797#F6d,5,o17,TEM:SAED,crop,shown,as_is,"the observation is read from the author's annotation, so masking it would overlap the graded feature; the author's label is the claim under test instead",saturation,True,1,,3,SAED patterns taken at points A–D indicated in Fig. 6
images/F6e.png,10.1016/j.actamat.2021.116797#F6e,5,o17,TEM:SAED,crop,shown,as_is,"the observation is read from the author's annotation, so masking it would overlap the graded feature; the author's label is the claim under test instead",saturation,True,1,,3,SAED patterns taken at points A–D indicated in Fig. 6
images/F6f.png,10.1016/j.actamat.2021.116797#F6f,5,o17,TEM:SAED,crop,shown,as_is,"the observation is read from the author's annotation, so masking it would overlap the graded feature; the author's label is the claim under test instead",saturation,True,3,,1,SAED patterns taken at points A–D indicated in Fig. 6
